,product_name,price_RM,discount_percent,quantity_sold,original_price_RM,brand
79,70mai A500s Dashcam Car Recorder Car Camera Accident Recorder 1944P with GPS ADAS,369.0,48,110,709.62,70mai
80,V380 PRO 行车记录仪 Wifi 24 Hours Record 1080P FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,10,26,88.67,other/unstated
81,SHIP IN 24 Hours!!! 4 inch Car Recorder Dash Cam 1440P Dual lens HD Driving Recorder/HD Night Vision/DVR Parking Monitor,99.0,54,6,215.22,other/unstated
82,4K Dual Dash Cam Car Dashcam 1080P HD Car Camera Recorder Car View Cam Front Back Auto Driving Recorder Interior Recorder Video Cam Night Vision,59.75,37,22,94.84,other/unstated
83,New 1080P Full HD 4.3 Inch Dual Lens Car DVR Dash Cam Front and Rear Mirror Camera Video Recorder,68.2,53,21000,145.11,other/unstated
84,3 Lenses Car Dash Cam 1080P Front+Interior+Rear Car DVR Driving Video Recorder 行车记录仪,64.5,45,27,117.27,other/unstated
85,70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,155.0,30,59,221.43,70mai
86,WIFI VERSION Roadcam 3 Camera Lens Vehicle Traveling Data Video Recorder 1080P HD Night Vision 24H Vehicle Camera Parking Monitoring Loop Recording,19.8,38,28,31.94,other/unstated
87,Sanlu High Definition Wifi Driving Recorder 4K Night Vision Panoramic Dashcam Front + Interior + Back / Rear 3 Channel Car Driving Video Recorder 24 Hours Record,69.39,52,180,144.56,other/unstated
88,3 Lens HD WIFI Driving Recorder Car DVR Dash Cam 170° Wide Angle Night-Vision Loop-Recording G-Sensor 三镜头行车记录仪,77.09,20,30000,96.36,other/unstated
89,"HD013 2K HD WIFI dashcam for car 4"" inch 2 Lens front and rear dash cam Car camera Recorder night vision App Control DVR行车记录器",69.9,50,192,139.8,other/unstated
90,DDPAI Dash Cam Z40 1944P Ultra HD Car Camera | Front and Rear Camera,349.0,55,560,775.56,ddpai
91,"【Shipping From Malaysia】 1296P Dual Lens 4"" Touch Screen Car Dash Camera Recorder DVR Dash Cam Front and Rear Reverse Cam Recording Night Vision 170° degree Wide Angle Dashcam with memory card 32G",92.0,26,33,124.32,other/unstated
92,Car DVR Dash Camera USB Front and Rear Dual Lens Video Recorder 720P AHD Reverse Cam Night Vision with ADAS For Android Player,34.87,8,117,37.9,other/unstated
93,【Malaysia Spot Sale】1296P 1080P Dual Lens 4 inch Touch Car Camera Video Dash Cam Full HD 170° Front Dashboard Car Cam 480P Rear View Camera 行车记录仪,92.0,64,23000,255.56,other/unstated
94,Car Rear View Camara Dash Cam Reverse Camera Night Backup Parking Monitor Vision HD 1080P Camera 170° I4X6,15.59,58,11,37.12,other/unstated
95,ONWRACE 2.5 Inch LCD 1080P Car DVR Camera Dash Cam Video Recorder G-sensor Night Vision,31.51,21,12,39.89,other/unstated
96,EKLEVA 4.0 Inch 3 Lens Car Black Box Dash Cam HD 1080P 360 Degree Wide Angle Car Camera DVR Video Recorder Dashcam,122.55,51,39,250.1,ekleva
97,Car Dash Camera with 4in Screen Front and Rear Dual Lens Car DVR Driver Recorder with G-sensor,64.9,35,14,99.85,other/unstated
98,70mai RC09 Rear Camera for A400 Dashcam with Night Vision for Reverse Gear Camera,79.0,56,113,179.55,70mai
99,"(Ship from Malaysia) 1296P Dual Lens 4"" Touch Screen Car Dash Camera Recorder DVR Dash Cam Front and Rear Reverse Cam Recording Night Vision 170° degree Wide Angle Dashcam with memory card 32G",65.5,58,118,155.95,other/unstated
100,DOSEN 3-inch Wifi Dashcam for car 1080P HD dual recording and dual cameras Dual Lens Recorder front and interior dash cam App Control DVR 行车记录器,89.5,39,39,146.72,dosen
101, Car Camera G30 Car DVR Dash Cam Full HD 1080P Video Camcorder with Night Vision Loop Recording G-sensor,27.55,72,15000,98.39,other/unstated
102,EKLEVA 3 Channel Car DVR HD 1080P Dash Cam For Car Three Way Dashcam Black Box Driver Video Recorder Car DVR Rear View Camera,123.75,10,15,137.5,ekleva
103,[New Launch] 70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,229.0,60,55,572.5,70mai
104,3 Channel Car DVR HD 1080P 3-Lens Inside Vehicle Dash CamThree Way Camera DVRs Recorder Video Registrator Dashcam Camcorder,63.89,45,20,116.16,other/unstated
105,Wifi dash cam 4k Bluetooth Carplay&Android Auto Mirror Link Voice control Asawin CP10 Wireless Car Stereo 10.26 Inch IPS Touch Screen Car Radio GPS navigation night vision,242.8,53,21000,516.6,asawin
106,[FREE INSTALLATION] TRAPO i-SIGHT T550 4K Dashcam,549.0,50,5,1098.0,other/unstated
107,High Definition 4.0 Inch Dual Lens Rearview Camera 1080p Dash Cam A10 A2 V2 Dual Record Cross-border Road,32.61,55,10,72.47,other/unstated
108,STAPON hd 1280x720p 140 degree dashcam ADAS Android USB DVR driving recorder with night vision Loop recording S6A,27.38,42,237,47.21,stapon
109,Car Camera Recorder Dash Cam 2.7Full HD 1080P 140 Degree  Front  DVR  Camcorder  Video Recorderer,24.67,5,160,25.97,other/unstated
110,Linke S1 3 Camera Lens Car HD 1080P 24h Parking Monitor DVR Wifi Dash Cam Video Recorder Dashcam for car front and back,89.8,50,32000,179.6,other/unstated
111,3 Camera Dashcam For Car Dashcam 1080P HD Car Camera Recorder Multifunction Night Vision Car Cam Auto Driving Recorder DVR Parking Monitor 行车记录仪,68.9,3,19,71.03,other/unstated
112,CarPlay 4K Dash Cam Asawin CP68 WIFI Bluetooth Wireless Apple Carplay & Android Auto with Front 4k 1080P Backup Camera  night vision  24-hour parking monitoring,189.8,22,48,243.33,asawin
113,EKLEVA 1.5 Inch Dash Cam WIFI 1080P Car DVR Dash Cam Night Vision Car Driving Recorder DVR Dashcam,83.23,50,68,166.46,ekleva
114,[Free Gifts]3 Camera Lens Dashcam for Car DVR 3-Channel Wifi Dash Cam HD 1080P Dash Camera with Rear Camera Dashcam Night Vision 24h Parking Monitor Driving Video Recorder,85.0,66,33000,250.0,other/unstated
115,70mai A500S Dashcam Pro Plus+ Car Recorder 1944P A500 Night Vision ADAS Parking Mode App Control,329.0,49,13,645.1,70mai
116,4K Front Camera Dash Cam for Cars Car DVR 3Lens Video Recorder GPS WIFI Camera for Vehicle Night Vision Black Box Car Accessory,98.6,50,542,197.2,other/unstated
117,Dash Camera Recorder 1080P DVR perakam Dashcam USB Loop rakaman Sensor graviti untuk sistem Android pada navigasi papan,79.85,31,10000,115.72,other/unstated
118,EKLEVA 2K Car Mirror DVR 12 Inch Rearview Mirror 1440P Dash Camera Dual lens 1080P Waterproof Rear Camera Video Recorder Night Vision Registrar Special for Right-hand Driver Design,331.22,48,320,636.96,ekleva
119,"XUSHIDZ-Q10 Dash Cam with Night Vision, Car DVR, Vehicle Recorder, G-Sensor, HDR DVR, Loop Recording Dashcam, 1080P, New",40.6,31,10,58.84,other/unstated
120,DOSEN 行车记录仪 Wifi 24 Hours Record 1080P FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,67,14000,241.82,dosen
121,【18 Months Warranty】FELEMENT dashcam LF9 Pro dashcam for car Front Dash Cam 24H Record FHD 2K UHD Night Vision 170° FOV WDR App Control Smart Enhanced Wifi Loop Recording G-Sensor Auto Voice Prompt,130.05,19,66,160.56,other/unstated
122,[Ready-Stock] DVR Car Camera Recorder Dashcam Car Dash Cam Front And Rear 1080P Driving Recorder Wifi Car View Cam 行车记录仪,62.9,21,14,79.62,other/unstated
123,Pioneer ND-DVR30s P7 Dashcam DVR Car Recorder 2K HDR Front and Rear Camera Voice Control Wifi Phone Connect,259.0,64,228,719.44,pioneer
124,"1080p dash cam 3 Channel Front inside rear camera recorder 4 ""touch screen night vision loop recording G-sensor parking monitor",60.99,59,12000,148.76,other/unstated
125,⭐ [100% ORIGINAL] ⭐ 1080 HD CAR CAMERA DASHCAM RECORDER VEHICLE 24 HOUR AUTO RECORD CCTV MINI HOLDER,50.42,42,449,86.93,other/unstated
126,70mai Omni X200 360° Dashcam 4G ADAS & GPS AI Motion HDR Night Vision Voice Control | Official 70MAI 1 Year Warranty,619.0,33,17,923.88,70mai
127,[Best Selling] 70mai A500S Dashcam Car Recorder 1944P Car Camera Rear Cam WiFi App Control GPS ADAS,342.1,67,36,1036.67,70mai
128,70MAI 1S M300 Car Recorder Dashcam Dashboard 70 MAI Car Cameras WiFi APP CONTROL SONY IMX307 - ORI techsome,149.0,54,8,323.91,70mai
129,"【Malaysia Spot Sale】Driving Recorder 1080P Car Camera screen Vehicle Video Dash Cam Dual Lens front and rear Car DVR Driver Recorder 170° wide loop recording with waterproof HD rear camera 4"" Touch Screen Video Recorder Front 行车记录仪",69.0,50,794,138.0,other/unstated
130,Auto Dash Camera Useful Loop Recording USB2.0 Interface Car Driving Recorder Dash Cam Auto Supplies,97.66,45,66,177.56,other/unstated
131,Czsky 2k 1440P HD WiFi Dash Cam for Car DVR Camera Video Recorder Auto Night Vision WDR Voice Control Wireless 24H Parking Mode,63.71,5,48,67.06,other/unstated
132,HD Car Dash Camera USB Front DVR Camera Night Vision Registrator Recorder with ADAS For Android Player Dashcam,38.1,46,439,70.56,other/unstated
133,Ettro 4 inch Car Recorder Dash Cam 1080P Dual lens Touch Screen HD Driving Recorder/HD Night Vision/DVR Parking Monitor,64.9,65,13,185.43,ettro
134,DDPAI Dash Cam MINI Pro 1296P Ultra HD Vehicle Drive Auto Video DVR Android Wifi Smart Connect Car Camera Recorder,159.0,55,12,353.33,ddpai
135,LOCAL STOCK 2.4 LCD DVR CAR RECORDER/ CAR CAMERA / DASH CAM,27.55,53,29,58.62,other/unstated
136,Driving Recorder Infrared Night Vision Car Parking Monitoring Car DVR Car Video Recorder Car Black Box Recorder Q1,27.45,38,52000,44.27,other/unstated
137,EKLEVA 10.26 Inch Dash Cam 4K Dual Lens Night Vision Car Dvr 24H Parking Monitoring Camera Driving Recorder Support GPS WIFI BT Carplay,458.86,34,65,695.24,ekleva
138,SAFECAM V20 Pro Front Rear Cam Dual Cameras Full HD 1080P WIFI Dashcam Night Vision App Control,169.0,80,41000,845.0,safecam
139,New 1080P Full HD Dash Cam Car Video Driving Recorder with Center Console LCD Car DVR Video Recorder Parking Monitor,123.2,50,563,246.4,other/unstated
140,HD 1080P Car DVR Camera For Vehicle 3 Lens Dash Cam 4.0 Inches Recorder Video Rear View Camera Black Box Loop Recording,60.46,51,18,123.39,other/unstated
141,[New Launch] 70mai A510 Dash Cam Dual Vision Car Recorder with GPS ADAS [Coming Soon],419.0,31,256,607.25,70mai
142,2 CAMERA New 4.3Inch 1080P Full HD Dual Lens Car DVR Dash Cam Front and Rear Mirror Camera Video Recorder,3.0,17,10,3.61,other/unstated
143,Asawin A5 dash cam for car Camera recorder front and rear 3.16 Inch IPS dash camera night vision Auto cycle video,89.0,67,6,269.7,asawin
144,24HOURS CCTV CAR CAMERA DASHCAM FRONT VIDEO BRIGHT NIGHT VERSION AUTO LOOP,5.0,34,38,7.58,other/unstated
145,Dashcam for Car WIFI Dash Cam 2 Camera Lens Car DVR Dashcam 3-Channel Dash Cam HD 1080P Camera with Rear Camera Night Vision Driving Video Record,62.9,76,304,262.08,other/unstated
146,EKLEVA Car DVR Camera Wifi ADAS Dash Cam Full HD 1080P Night Vision Car Camera Recorder G-sensor Android USB Digital Registrator,113.48,27,121,155.45,ekleva
147,&lt;3 CAR CAMERA&gt; 3 Lens Dash Cam 1080P Full HD DVR Dash Cam 170 Wide Angle G-Sensor Recorder Rear View Car Camera 行车记录仪,65.5,34,78,99.24,other/unstated
148,EKLEVA 11.3 INCH 4K Dash Cam Rearview Camera Carplay & Android Auto Smart Player GPS Navigation Car DVR WIFI Dual Lens Monitor,495.43,45,12,900.78,ekleva
149,Car Front Logo Camera Front View Camera Parking Waterproof for Honda XR-V Odyssey CRV Spirior Crosstour,34.75,21,59,43.99,other/unstated
150,GetGadget⚙ Dashcam 4.2' Dual Lens Car Camera HD Auto DVR Rearview Mirror Dash Cam Cars Recorder Video 1080P Night Vision Vehicle Blackbox DVR,13.9,32,25,20.44,other/unstated
151,"ETTRO A10 Dash Cam Car Camera Recorder Front and Back Dual Lens Dashcam Video Cam Night Vision 1296P FHD 4""",94.9,20,10,118.62,ettro
152,VSYS SYS Dual 1080p FHD motorcycle DVR wifi camera waterproof Dash Camera front and rear view Motor recorder,228.0,57,41,530.23,other/unstated
153,70mai Dashcam PRO PLUS+ A500S Car Recorder 1944P car camera rear cam wifi app control GPS Built in ADAS A500 Global Version,359.0,53,12,763.83,70mai
154,-LIMITED OFFER 10- Ready Stock Fast Delivery 1296P 2.5D 4inch 12MP Car Camera Car Recorder Dual Lens Vehicle Dashcam M2 & A10 &XH202 Dashcam* car camera recorder*dash camera for car*car camera recorder front and back*reverse camera for car*camera kereta,98.0,36,41,153.12,other/unstated
155,Car DVR Dash Cam WiFi FHD1080P Drive Video Recorder Dashboard Camera Parking Monitor Video Loop Recording Night Vision Black Box,43.6,50,85,87.2,other/unstated
156,EKLEVA Dash Cam ADAS Car DVR ADAS Dashcam DVRs Video HD USB Auto Car Recorder for Android Multimedia Player DVD,50.18,54,85,109.09,ekleva
157,Dash Cam Front and Rear Camera WiFi GPS 1080P Car DVR Auto Drive Video Recorder Dashcam Night Vision Parking Monitor Black Box,106.63,50,227,213.26,other/unstated
158,Czsky 2k 1440P HD WiFi Dash Cam for Car DVR Camera Video Recorder Auto Night Vision WDR Voice Control Wireless 24H Parking Mode,52.53,35,88,80.82,other/unstated
