,Show_Type_ID,Types
834,ST377,International Movies
835,ST377,Music & Musicals
836,ST378,Comedies
837,ST378,Dramas
838,ST378,International Movies
839,ST379,Stand-Up Comedy
840,ST380,Comedies
841,ST380,Dramas
842,ST380,Independent Movies
843,ST381,Kids' TV
844,ST381,TV Comedies
845,ST382,Classic Movies
846,ST382,Dramas
847,ST382,International Movies
848,ST383,Classic Movies
849,ST383,Dramas
850,ST383,International Movies
851,ST384,Documentaries
852,ST384,International Movies
853,ST384,Sports Movies
854,ST385,Dramas
855,ST385,International Movies
856,ST385,Romantic Movies
857,ST386,Action & Adventure
858,ST386,Comedies
859,ST386,International Movies
860,ST387,Stand-Up Comedy
861,ST388,Stand-Up Comedy
862,ST389,Comedies
863,ST389,Independent Movies
864,ST389,International Movies
865,ST390,Crime TV Shows
866,ST390,International TV Shows
867,ST390,TV Dramas
868,ST391,Documentaries
869,ST391,International Movies
870,ST392,Action & Adventure
871,ST392,International Movies
872,ST392,Sci-Fi & Fantasy
873,ST393,Classic Movies
874,ST393,Comedies
875,ST393,Dramas
876,ST394,International TV Shows
877,ST394,TV Action & Adventure
878,ST394,TV Mysteries
879,ST395,Comedies
880,ST395,International Movies
881,ST395,LGBTQ Movies
882,ST396,Documentaries
883,ST397,Kids' TV
884,ST397,TV Comedies
885,ST398,Action & Adventure
886,ST398,Sci-Fi & Fantasy
887,ST399,British TV Shows
888,ST399,Docuseries
889,ST399,International TV Shows
890,ST400,Children & Family Movies
891,ST401,Children & Family Movies
892,ST401,Comedies
893,ST401,Sci-Fi & Fantasy
894,ST402,Documentaries
895,ST403,Dramas
896,ST403,International Movies
897,ST403,Romantic Movies
898,ST404,Comedies
899,ST404,Dramas
900,ST404,Independent Movies
901,ST405,TV Comedies
902,ST406,TV Dramas
903,ST406,Teen TV Shows
904,ST407,Action & Adventure
905,ST407,Comedies
906,ST407,International Movies
907,ST408,Dramas
908,ST408,Independent Movies
909,ST409,Children & Family Movies
910,ST410,International TV Shows
911,ST410,Romantic TV Shows
912,ST410,Spanish-Language TV Shows
913,ST411,International Movies
914,ST411,Thrillers
915,ST412,Kids' TV
916,ST412,TV Comedies
917,ST413,Kids' TV
918,ST413,TV Action & Adventure
919,ST413,TV Comedies
920,ST414,Children & Family Movies
921,ST414,Independent Movies
922,ST415,Documentaries
923,ST415,LGBTQ Movies
924,ST416,Horror Movies
925,ST416,Thrillers
926,ST417,Comedies
927,ST417,Dramas
928,ST417,International Movies
929,ST418,Horror Movies
930,ST419,Dramas
931,ST419,Romantic Movies
932,ST420,Action & Adventure
933,ST421,Comedies
934,ST421,International Movies
935,ST421,Romantic Movies
936,ST422,Comedies
937,ST422,Dramas
938,ST422,International Movies
939,ST423,Dramas
940,ST424,Comedies
941,ST424,International Movies
942,ST424,Romantic Movies
943,ST425,Dramas
944,ST425,International Movies
945,ST426,Dramas
946,ST426,Romantic Movies
947,ST427,International TV Shows
948,ST427,Spanish-Language TV Shows
949,ST427,TV Comedies
950,ST428,Comedies
951,ST428,Dramas
952,ST428,Independent Movies
953,ST429,Reality TV
954,ST430,Dramas
955,ST431,Dramas
956,ST431,International Movies
957,ST431,Romantic Movies
958,ST432,Thrillers
959,ST433,Children & Family Movies
960,ST434,Children & Family Movies
961,ST435,Kids' TV
962,ST436,Documentaries
963,ST437,Documentaries
964,ST438,Crime TV Shows
965,ST438,TV Action & Adventure
966,ST438,TV Dramas
967,ST439,Action & Adventure
968,ST439,Anime Features
